"id","ingredient"
66102450266,"4 eggs"
66102450266,"1 1/2 cups all-purpose flour"
66102450266,"1/2 teaspoon baking powder"
66102450266,"1/2 teaspoon salt"
66102450266,"1/2 cup walnut halves"
66102450266,"1 (16 ounce) package OREO Chocolate Sandwich Cookies, divided"
66102450266,"1 (8 ounce) package PHILADELPHIA Cream Cheese, softened"
66102450266,"2 (8 ounce) packages BAKER'S Semi-Sweet Baking Chocolate, melted"
66102450266,"1 cup butter or margarine, melted"
66102450266,"2 cups graham cracker crumbs"
66102450266,"2 cups confectioners' sugar"
66102450266,"1 cup peanut butter"
66102450266,"1 1/2 cups semisweet chocolate chips"
66102450266,"4 tablespoons peanut butter"
66102450266,"1/2 cup butter"
66102450266,"1/2 cup white sugar"
66102450266,"1/3 cup packed brown sugar"
66102450266,"1/2 cup peanut butter"
66102450266,"1/2 teaspoon vanilla extract"
66102450266,"1 egg"
66102450266,"1 cup all-purpose flour"
66102450266,"1 teaspoon baking soda"
66102450266,"1/4 teaspoon salt"
66102450266,"1/2 cup rolled oats"
66102450266,"1 cup semisweet chocolate chips"
66102450266,"1/2 cup butter"
66102450266,"1 cup white sugar"
66102450266,"2 eggs"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1/3 cup unsweetened cocoa powder"
66102450266,"1/2 cup all-purpose flour"
66102450266,"1/4 teaspoon salt"
66102450266,"1/4 teaspoon baking powder"
66102450266,"Frosting:"
66102450266,"3 tablespoons butter, softened"
66102450266,"3 tablespoons unsweetened cocoa powder"
66102450266,"1 tablespoon honey"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 cup confectioners' sugar"
66102450266,"1/2 cup vegetable oil"
66102450266,"1 1/2 cups white sugar"
66102450266,"2 teaspoons vanilla extract"
66102450266,"2 cups all-purpose flour"
66102450266,"1/2 cup unsweetened cocoa powder"
66102450266,"1 1/2 teaspoons baking soda"
66102450266,"1 teaspoon salt"
66102450266,"2 cups shredded zucchini"
66102450266,"1/2 cup chopped walnuts"
66102450266,"6 tablespoons unsweetened cocoa powder"
66102450266,"1/4 cup margarine"
66102450266,"2 cups confectioners' sugar"
66102450266,"1/4 cup milk"
66102450266,"1/2 teaspoon vanilla extract"
66102450266,"4 tablespoons butter"
66102450266,"3/4 cup all-purpose flour"
66102450266,"3/4 cup sugar"
66102450266,"1 teaspoon baking powder"
66102450266,"1/4 teaspoon salt"
66102450266,"3/4 cup milk"
66102450266,"2 cups of sliced fresh peaches or nectarines, or whole blueberries, strawberries, raspberries, blackberries or a combination of fruits (or a 12-ounce package of frozen berries)"
66102450266,"1 tablespoon sugar"
66102450266,"3/4 cup butter, softened"
66102450266,"3/4 cup white sugar"
66102450266,"3/4 cup packed light brown sugar"
66102450266,"2 eggs"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 1/4 cups all-purpose flour"
66102450266,"1 teaspoon baking soda"
66102450266,"3/4 teaspoon ground cinnamon"
66102450266,"1/2 teaspoon salt"
66102450266,"2 3/4 cups rolled oats"
66102450266,"1 cup raisins"
66102450266,"1 cup chocolate cookie crumbs"
66102450266,"3 tablespoons white sugar"
66102450266,"1/4 cup butter, melted"
66102450266,"1 (10 ounce) package frozen raspberries"
66102450266,"2 tablespoons white sugar"
66102450266,"2 teaspoons cornstarch"
66102450266,"1/2 cup water"
66102450266,"2 cups white chocolate chips"
66102450266,"1/2 cup half-and-half cream"
66102450266,"3 (8 ounce) packages cream cheese, softened"
66102450266,"1/2 cup white sugar"
66102450266,"3 eggs"
66102450266,"1 teaspoon vanilla extract"
66102450266,"2 (8 ounce) packages cream cheese, softened"
66102450266,"1/2 cup white sugar"
66102450266,"1/2 teaspoon vanilla extract"
66102450266,"2 eggs"
66102450266,"1/2 cup pumpkin puree"
66102450266,"1/2 teaspoon ground cinnamon"
66102450266,"1 pinch ground cloves"
66102450266,"1 pinch ground nutmeg"
66102450266,"1 (9 inch) prepared graham cracker crust"
